,link,operator,facility,name,bed,address_1,address_2,cityline,phone
1,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3084,Operated by 1914969 ALBERTA INC.,Assisted Living,1914969 ALBERTA INC.,12,18435 121 Avenue,,"Edmonton , Alberta, T5R 1R2",Phone: (780) 906-7701
2,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3362,Operated by 9385452 CANADA INC.,Assisted Living,"9385452 CANADA INC., O/A CHARTWELL WESCOTT RETIREMENT RESIDENCE",210,3841 Allan Drive SW,,"Edmonton , Alberta, T6W 4B8",Phone: (780) 784-8344 EXT: 1100
3,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3548,Operated by ABOVE AND BEYOND CARE INC.,Assisted Living,ABOVE AND BEYOND CARE SERVICES INC.,13,254244 Range Road 284,,"Rocky View County , Alberta, T1Z 0L4",Phone: (403) 616-2731
4,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3352,Operated by ADAPTACARE PERSONAL CARE HOMES INC.,Assisted Living,ADAPTACARE PERSONAL CARE HOMES INC.,60,1821 13 Street North,,"Lethbridge , Alberta, T1H 2V4",Phone: (403) 329-3536
5,https://standardsandlicensing.alberta.ca/detail_page.html?ID=772,Operated by AGECARE INVESTMENTS LTD.,Assisted Living,AGECARE COLUMBIA,125,785 Columbia Boulevard West,,"Lethbridge , Alberta, T1K 4T8",Phone: (403) 320-9363
6,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1361,Operated by AGECARE INVESTMENTS LTD.,Assisted Living,AGECARE MIDNAPORE / ESTATE,50,500 Midpark Way SE,,"Calgary , Alberta, T2X 3S3",Phone: (403) 873-2603
7,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3404,Operated by ASTER JOINT VENTURE LIMITED PARTNERSHIP,Assisted Living,AGECARE SAGEWOOD,110,140 Cambridge Glen Drive,,"Strathmore , Alberta, T1P 0E2",Phone: (403) 361-8009
8,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3399,Operated by ASTER JOINT VENTURE LIMITED PARTNERSHIP,Assisted Living,AGECARE SETON,252,4963 Front St SE,,"Calgary , Alberta, T3M 2M3",Phone: (587) 349-8437
9,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3406,Operated by ASTER JOINT VENTURE LIMITED PARTNERSHIP,Assisted Living,AGECARE SKYPOINTE,160,179 Skyview Circle NE,,"Calgary , Alberta, T3N 0Y7",Phone: (587) 619-6310
10,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3401,Operated by ASTER JOINT VENTURE LIMITED PARTNERSHIP,Assisted Living,AGECARE SUNRISE GARDENS,84,1235 3 Street West,,"Brooks , Alberta, T1R 0P7",Phone: (403) 794-2105 EXT: 2106
11,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3524,Operated by CONNECTING CARE FOUNDATION,Assisted Living,AIRDRIE CARE COMMUNITY,131,15 Market Boulevard,,"Airdrie , Alberta, T5J 0X6",Phone: (403) 980-5430
12,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1360,Operated by LIFESTYLE OPTIONS LTD.,Assisted Living,ALBERTA LIFE CARE HOUSING FOUNDATION,180,200 Falconer Court NW,,"Edmonton , Alberta, T6R 2V9",Phone: (780) 439-1023
13,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1380,Operated by LIFESTYLE OPTIONS LTD.,Assisted Living,ALBERTA LIFE CARE HOUSING FOUNDATION,180,4069 106 Street,,"Edmonton , Alberta, T6J 4N5",Phone: (780) 439-1023
14,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1381,Operated by LIFESTYLE OPTIONS LTD.,Assisted Living,ALBERTA LIFE CARE HOUSING FOUNDATION,250,17203 99 Avenue NW,,"Edmonton , Alberta, T5T 6S5",Phone: (780) 439-1023
15,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1395,Operated by LIFESTYLE OPTIONS LTD.,Assisted Living,ALBERTA LIFE CARE HOUSING FOUNDATION,180,108 West Haven Drive,,"Leduc , Alberta, T9E 0R7",Phone: (780) 439-1023
