,link,operator,facility,name,bed,address_1,address_2,cityline,phone
1,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3513,Operated by BLOOM LIMITED PARTNERSHIP,Long Term Care Accommodation,AGECARE BOW-CREST,150,5927 Bowness Road NW,,"Calgary , Alberta, T3B 0C7",Phone: (403) 873-3209
2,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3517,Operated by BLOOM LIMITED PARTNERSHIP,Long Term Care Accommodation,AGECARE JASPER PLACE,100,8903 168 Street,,"Edmonton , Alberta, T5R 2V6",Phone: (403) 873-3209
3,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3514,Operated by BLOOM LIMITED PARTNERSHIP,Long Term Care Accommodation,AGECARE MCKENZIE TOWNE,150,80 Promenade Way SE,,"Calgary , Alberta, T2Z 4G4",Phone: (403) 873-3209
4,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1093,Operated by AGECARE INVESTMENTS LTD.,Long Term Care Accommodation,AGECARE MIDNAPORE / ESTATE,270,500 Midpark Way SE,,"Calgary , Alberta, T2X 3S3",Phone: (403) 873-2603
5,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3516,Operated by BLOOM LIMITED PARTNERSHIP,Long Term Care Accommodation,AGECARE MILLER CROSSING,155,14251 50 St NW,,"Edmonton , Alberta, T5A 5J4",Phone: (780) 478-9212 EXT: 2002
6,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3512,Operated by BLOOM LIMITED PARTNERSHIP,Long Term Care Accommodation,AGECARE MOUNT ROYAL,93,1813 9 Street SW,,"Calgary , Alberta, T2T 3C2",Phone: (403) 873-3209
7,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3515,Operated by BLOOM LIMITED PARTNERSHIP,Long Term Care Accommodation,AGECARE RIVERVIEW,118,603 Prospect Drive SW,,"Medicine Hat , Alberta, T1A 4C2",Phone: (403) 873-3209
8,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3405,Operated by ASTER JOINT VENTURE LIMITED PARTNERSHIP,Long Term Care Accommodation,AGECARE SAGEWOOD,55,140 Cambridge Glen Drive,,"Strathmore , Alberta, T1P 0E2",Phone: (403) 361-8009
9,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3400,Operated by ASTER JOINT VENTURE LIMITED PARTNERSHIP,Long Term Care Accommodation,AGECARE SETON,59,4963 Front St SE,,"Calgary , Alberta, T3M 2M3",Phone: (587) 349-8437
10,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3407,Operated by ASTER JOINT VENTURE LIMITED PARTNERSHIP,Long Term Care Accommodation,AGECARE SKYPOINTE,241,179 Skyview Circle NE,,"Calgary , Alberta, T3N 0Y7",Phone: (587) 619-1900 EXT: 5
11,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3518,Operated by BLOOM LIMITED PARTNERSHIP,Long Term Care Accommodation,AGECARE SOUTH TERRACE,107,5905 112 Street,,"Edmonton , Alberta, T6H 3J4",Phone: (780) 434-1451 EXT: 228
12,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1189,Operated by THE GRAY HOUSE GUILD,Long Term Care Accommodation,ALLEN GRAY CONTINUING CARE,156,5005 28 Avenue,,"Edmonton , Alberta, T6L 7G1",Phone: (780) 469-9606 EXT: 222
13,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3403,Operated by ASTER JOINT VENTURE LIMITED PARTNERSHIP,Long Term Care Accommodation,ASTER JOINT VENTURE LIMITED PARTNERSHIP O/A AGECARE WALDEN HEIGHTS,100,250 Walden Drive SE,,"Calgary , Alberta, T2X 0V1",Phone: (403) 873-4701
14,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1056,Operated by ALBERTA HEALTH SERVICES,Long Term Care Accommodation,ATHABASCA HEALTHCARE CENTRE,23,3100 48 Avenue,,"Athabasca , Alberta, T9S 1M9",Phone: (780) 675-6032
15,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1079,Operated by ALBERTA HEALTH SERVICES,Long Term Care Accommodation,BASSANO HEALTH CENTRE,8,608 5 Avenue,,"Bassano , Alberta, T0J 0B0",Phone: (403) 793-6660
16,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3315,Operated by BENEVOLENCE CARE CENTRE LTD.,Long Term Care Accommodation,BENEVOLENCE CARE CENTRE,102,9810 165 Street,,"Edmonton , Alberta, T5P 3S7",Phone: N/A
17,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1118,Operated by ALBERTA HEALTH SERVICES,Long Term Care Accommodation,BENTLEY CARE CENTRE,15,4834 52 Avenue,,"Bentley , Alberta, T0C 0J0",Phone: (403) 748-4115
18,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1089,Operated by BETHANY CARE SOCIETY,Long Term Care Accommodation,BETHANY CALGARY,416,916 18A St NW,,"Calgary , Alberta, T2N 1C6",Phone: (403) 210-4603
19,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1091,Operated by BETHANY CARE SOCIETY,Long Term Care Accommodation,BETHANY CARE CENTRE - HARVEST HILLS,60,19 Harvest Gold Manor NE,,"Calgary , Alberta, T3K 4Y1",Phone: (403) 226-8202
20,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1088,Operated by BETHANY CARE SOCIETY,Long Term Care Accommodation,BETHANY CARE CENTRE AIRDRIE,74,1736 1 Avenue NW,,"Airdrie , Alberta, T4B 2C4",Phone: (403) 948-8426
21,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1090,Operated by BETHANY CARE SOCIETY,Long Term Care Accommodation,BETHANY CARE CENTRE COCHRANE,78,1000-32 Quigley Dr,,"Cochrane , Alberta, T4C 1X9",Phone: (403) 932-8429
22,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1109,Operated by BETHANY CARE SOCIETY,Long Term Care Accommodation,BETHANY COLLEGESIDE,112,99 College Circle,,"Red Deer , Alberta, T4R 0M3",Phone: (403) 357-3704
23,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1106,Operated by BETHANY NURSING HOME OF CAMROSE,Long Term Care Accommodation,BETHANY MEADOWS,65,4209 55 Street,,"Camrose , Alberta, T4V 4Y6",Phone: (780) 679-1012
24,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3344,Operated by BETHANY CARE SOCIETY,Long Term Care Accommodation,BETHANY RIVERVIEW,210,2915 26 Avenue SE,,"Calgary , Alberta, T2B 2W6",Phone: (403) 210-4603
25,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1143,Operated by BETHANY CARE SOCIETY,Long Term Care Accommodation,BETHANY SYLVAN LAKE,40,4700 47 Avenue,,"Sylvan Lake , Alberta, T4S 2M3",Phone: (403) 887-7741
26,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1092,Operated by AGECARE INVESTMENTS LTD.,Long Term Care Accommodation,BEVERLY CENTRE GLENMORE,215,1729 90 Avenue SW,,"Calgary , Alberta, T2V 4S1",Phone: (403) 640-8745
27,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1082,Operated by ALBERTA HEALTH SERVICES,Long Term Care Accommodation,BIG COUNTRY HOSPITAL,30,312 3 Ave E,,"Oyen , Alberta, T0J 2J0",Phone: (403) 664-4309
28,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1059,Operated by COVENANT HEALTH,Long Term Care Accommodation,BONNYVILLE HEALTHCARE CENTRE,30,5001 Lakeshore Drive,(PO Bag 1008),"Bonnyville , Alberta, T9N 2J7",Phone: N/A
29,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1080,Operated by ALBERTA HEALTH SERVICES,Long Term Care Accommodation,BOW ISLAND HEALTH CENTRE,20,"938 Centre Street, PO Bag 3990",,"Bow Island , Alberta, T0K 0G0",Phone: (403) 545-3202
30,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1147,Operated by THE BRENDA STRAFFORD FOUNDATION LTD.,Long Term Care Accommodation,BOW VIEW MANOR,231,4628 Montgomery Boulevard NW,,"Calgary , Alberta, T3B 0K7",Phone: (403) 288-4446
31,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1043,Operated by INTERCARE CORPORATE GROUP INC.,Long Term Care Accommodation,BRENTWOOD CARE CENTRE,360,2727 16 Avenue NW,,"Calgary , Alberta, T2N 3Y6",Phone: (403) 289-2576 EXT: 215
32,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1119,Operated by ALBERTA HEALTH SERVICES,Long Term Care Accommodation,BRETON HEALTH CENTRE,23,4919 49 Avenue,,"Breton , Alberta, T0C 0P0",Phone: (780) 696-4725
33,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1081,Operated by ALBERTA HEALTH SERVICES,Long Term Care Accommodation,BROOKS HEALTH CENTRE,15,440 Third Street East,"(Bag 300, T1R 1B3)","Brooks , Alberta, T1R 0X8",Phone: (403) 793-6660
34,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1172,Operated by ALBERTA HEALTH SERVICES,Long Term Care Accommodation,CANMORE GENERAL HOSPITAL (GOLDEN EAGLE VIEW LTC),23,1100 Hospital Place,,"Canmore , Alberta, T1W 1N9",Phone: (403) 679-2403
35,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1190,Operated by CAPITAL CARE GROUP INC.,Long Term Care Accommodation,CAPITAL CARE DICKINSFIELD,275,14225 94 St NW,,"Edmonton , Alberta, T5E 6C6",Phone: (780) 371-6500
36,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1191,Operated by CAPITAL CARE GROUP INC.,Long Term Care Accommodation,CAPITAL CARE GRANDVIEW,135,6215 124 Street,,"Edmonton , Alberta, T6H 3V1",Phone: (780) 496-7103
37,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1192,Operated by CAPITAL CARE GROUP INC.,Long Term Care Accommodation,CAPITAL CARE LYNNWOOD,276,8740 165 Street,,"Edmonton , Alberta, T5R 2R8",Phone: (780) 341-2301
38,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1193,Operated by CAPITAL CARE GROUP INC.,Long Term Care Accommodation,CAPITAL CARE NORWOOD,52,10410 111 Avenue,,"Edmonton , Alberta, T5G 3A2",Phone: (780) 448-2435
39,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1217,Operated by CAPITAL CARE GROUP INC.,Long Term Care Accommodation,CAPITAL CARE STRATHCONA,111,12 Brower Drive,,"Sherwood Park , Alberta, T8H 1V3",Phone: (780) 417-4326
40,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1048,Operated by ALBERTA HEALTH SERVICES,Long Term Care Accommodation,CARDSTON HEALTH CENTRE,14,144 2 Street West,PO Box 1440,"Cardston , Alberta, T0K 0K0",Phone: (403) 752-5406
41,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1094,Operated by CAREWEST,Long Term Care Accommodation,CAREWEST COLONEL BELCHER,174,1939 Veterans Way NW,,"Calgary , Alberta, T3B 5Y8",Phone: (403) 230-6900
42,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1149,Operated by CAREWEST,Long Term Care Accommodation,CAREWEST DR. VERNON FANNING CENTRE,190,722 16 Avenue NE,,"Calgary , Alberta, T2E 6V7",Phone: (403) 230-6900
43,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1552,Operated by CAREWEST,Long Term Care Accommodation,CAREWEST GARRISON GREEN,200,3108 Don Ethell Boulevard SW,,"Calgary , Alberta, T3E 6Z5",Phone: (403) 230-6900
44,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1150,Operated by CAREWEST,Long Term Care Accommodation,CAREWEST GEORGE BOYACK,221,1203 Centre Avenue NE,,"Calgary , Alberta, T2E 0A5",Phone: (403) 230-6900
45,https://standardsandlicensing.alberta.ca/detail_page.html?ID=2821,Operated by CAREWEST,Long Term Care Accommodation,CAREWEST ROULEAU MANOR,77,2208 2 Street SW,,"Calgary , Alberta, T2S 3C3",Phone: (403) 230-6900
46,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1151,Operated by CAREWEST,Long Term Care Accommodation,CAREWEST ROYAL PARK,50,4222 Sarcee Road SW,,"Calgary , Alberta, T3E 7J8",Phone: (403) 230-6900
47,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1152,Operated by CAREWEST,Long Term Care Accommodation,CAREWEST SARCEE,95,3504 Sarcee Road SW,,"Calgary , Alberta, T3E 4T4",Phone: (403) 230-6900
48,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1153,Operated by CAREWEST,Long Term Care Accommodation,CAREWEST SIGNAL POINTE,54,6363 Simcoe Road SW,,"Calgary , Alberta, T3H 4M3",Phone: (403) 230-6900
49,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1177,Operated by ALBERTA HEALTH SERVICES,Long Term Care Accommodation,CENTRAL PEACE HEALTH COMPLEX,15,5010 45 Avenue,Box 339,"Spirit River , Alberta, T0H 3G0",Phone: (780) 356-3818
50,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1162,Operated by INTERCARE CORPORATE GROUP INC.,Long Term Care Accommodation,CHINOOK CARE CENTRE,265,1261 Glenmore Trail SW,,"Calgary , Alberta, T2V 4Y8",Phone: (403) 252-0141
51,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1194,Operated by QUALICARE HEALTH SERVICES CORPORATION,Long Term Care Accommodation,CITADEL CARE CENTRE,129,25 Erin Ridge Road,,"St. Albert , Alberta, T8N 7K8",Phone: (780) 418-6141
52,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3520,Operated by THE BRENDA STRAFFORD FOUNDATION LTD.,Long Term Care Accommodation,CLIFTON HOUSE,113,907 47th Street SE,,"Calgary , Alberta, T2A 1R2",Phone: (825) 540-5602
53,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1045,Operated by COALDALE HEALTH CENTRE,Long Term Care Accommodation,COALDALE HEALTH CENTRE,40,2100 11 Street,,"Coaldale , Alberta, T1M 1L2",Phone: (403) 345-7002
54,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1061,Operated by ALBERTA HEALTH SERVICES,Long Term Care Accommodation,COLD LAKE HEALTHCARE CENTRE,30,314 25 Street,,"Cold Lake , Alberta, T9M 1G6",Phone: (780) 207-7870
55,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1121,Operated by ALBERTA HEALTH SERVICES,Long Term Care Accommodation,CONSORT HOSPITAL AND CARE CENTRE,15,5402 52 Avenue,,"Consort , Alberta, T0C 1B0",Phone: (403) 577-4002
56,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1122,Operated by ALBERTA HEALTH SERVICES,Long Term Care Accommodation,CORONATION HOSPITAL AND CARE CENTRE,23,5000 Municipal Road,,"Coronation , Alberta, T0C 1C0",Phone: (403) 578-5302
57,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1051,Operated by ALBERTA HEALTH SERVICES,Long Term Care Accommodation,CROWSNEST PASS HEALTH CENTRE,53,2001 107 Street,,"Blairmore , Alberta, T0K 0E0",Phone: (403) 562-5019
