,link,operator,facility,name,bed,address_1,address_2,cityline,phone
1,https://standardsandlicensing.alberta.ca/detail_page.html?ID=903,Operated by GREEN ACRES FOUNDATION,Lodge,ALBERTA ROSE LODGE,57,2251 32 Street South,,"Lethbridge , Alberta, T1K 4J9",Phone: (403) 327-5745
2,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1404,Operated by THE EVERGREENS FOUNDATION,Lodge,ALPINE SUMMIT SENIORS LODGE,58,509 Turret Street,,"Jasper , Alberta, T0E 1E0",Phone: (780) 852-4881
3,https://standardsandlicensing.alberta.ca/detail_page.html?ID=934,Operated by SILVERA FOR SENIORS,Lodge,ASPEN COMMUNITY,267,1171 Bow Valley Lane NE,,"Calgary , Alberta, T2E 8B1",Phone: (403) 265-2090
4,https://standardsandlicensing.alberta.ca/detail_page.html?ID=943,Operated by MOUNTAIN VIEW SENIORS' HOUSING,Lodge,ASPEN RIDGE LODGE,73,1100 20 Avenue,Box 2290,"Didsbury , Alberta, T0M 0W0",Phone: (403) 335-9848
5,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3424,Operated by PARKLAND FOUNDATION,Lodge,AUTUMN GROVE,66,4035 50 Avenue,,"Innisfail , Alberta, T4G 1B1",Phone: (403) 227-3745
6,https://standardsandlicensing.alberta.ca/detail_page.html?ID=985,Operated by THE SMOKY LAKE FOUNDATION,Lodge,BAR V NOOK SUPPORTIVE LIVING,140,4504/4524 52 Avenue,PO Box 179,"Smoky Lake , Alberta, T0A 3C0",Phone: (780) 656-0054
7,https://standardsandlicensing.alberta.ca/detail_page.html?ID=854,Operated by BATTLE RIVER FOUNDATION,Lodge,BATTLE RIVER FOUNDATION,103,429 5 Avenue,,"Wainwright , Alberta, T9W 2R1",Phone: (780) 842-3630
8,https://standardsandlicensing.alberta.ca/detail_page.html?ID=935,Operated by SILVERA FOR SENIORS,Lodge,BEAVERDAM COMMUNITY,59,2012 66 Avenue SE,,"Calgary , Alberta, T2C 1X7",Phone: (403) 279-4623
9,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3300,Operated by LAMONT COUNTY HOUSING FOUNDATION,Lodge,BEAVERHILL PIONEER LODGE,59,5203 52 Street,Box 120,"Lamont , Alberta, T0B 2R0",Phone: (780) 895-2573
10,https://standardsandlicensing.alberta.ca/detail_page.html?ID=891,Operated by GEF SENIORS HOUSING,Lodge,BEVERLY LODGE,77,4410 117 Avenue NW,,"Edmonton , Alberta, T5W 4Z8",Phone: (780) 479-4693
11,https://standardsandlicensing.alberta.ca/detail_page.html?ID=967,Operated by ROCKY VIEW FOUNDATION,Lodge,BIG HILL LODGE,74,98 Carolina Drive,,"Cochrane , Alberta, T4C 1X5",Phone: (403) 932-3355
12,https://standardsandlicensing.alberta.ca/detail_page.html?ID=879,Operated by FLAGSTAFF REGIONAL HOUSING GROUP,Lodge,BIG KNIFE LODGE,45,4401 47 Street,,"Forestburg , Alberta, T0B 1N0",Phone: (780) 582-3564
13,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1414,Operated by GREEN ACRES FOUNDATION,Lodge,BLACK ROCK TERRACE,135,105 5 Avenue South,,"Lethbridge , Alberta, T1J 0Z7",Phone: (403) 328-4127
14,https://standardsandlicensing.alberta.ca/detail_page.html?ID=904,Operated by GREEN ACRES FOUNDATION,Lodge,BLUE SKY LODGE,78,1431 16 Avenue North,,"Lethbridge , Alberta, T1H 4B9",Phone: (403) 328-9422
15,https://standardsandlicensing.alberta.ca/detail_page.html?ID=921,Operated by LAKELAND LODGE AND HOUSING FOUNDATION,Lodge,BONNYLODGE,140,4712 47 Avenue,,"Bonnyville , Alberta, T9N 2E7",Phone: (780) 826-3911
16,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3299,Operated by BOW VALLEY REGIONAL HOUSING,Lodge,BOW RIVER SENIORS LODGE,133,920 Fairholme Drive,,"Canmore , Alberta, T1W 1W1",Phone: (403) 678-5922
17,https://standardsandlicensing.alberta.ca/detail_page.html?ID=936,Operated by SILVERA FOR SENIORS,Lodge,BOW VALLEY COMMUNITY,61,1020 Bow Valley Drive NE,,"Calgary , Alberta, T2E 6P9",Phone: (403) 264-6455
18,https://standardsandlicensing.alberta.ca/detail_page.html?ID=1303,Operated by LAC STE. ANNE FOUNDATION,Lodge,CHATEAU LAC STE. ANNE,92,5123 49 Avenue,Box 1225,"Onoway , Alberta, T0E 1V0",Phone: (780) 967-0475 EXT: 2
19,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3094,Operated by HOMELAND HOUSING,Lodge,CHATEAU MISSION,42,34 Mission Avenue,,"St. Albert , Alberta, T8N 1H8",Phone: (780) 458-7445
20,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3095,Operated by HOMELAND HOUSING,Lodge,CHATEAU STURGEON,42,5320 46 Street,Box 210,"Legal , Alberta, T0G 1L0",Phone: (780) 961-3972
21,https://standardsandlicensing.alberta.ca/detail_page.html?ID=866,Operated by CHINOOK FOUNDATION,Lodge,CHINOOK LODGE,62,451 3 St W,PO Box 2730,"Cardston , Alberta, T0K 0K0",Phone: (403) 653-4324
22,https://standardsandlicensing.alberta.ca/detail_page.html?ID=944,Operated by MOUNTAIN VIEW SENIORS' HOUSING,Lodge,CHINOOK WINDS LODGE,42,1401 Gough Road,,"Carstairs , Alberta, T0M 0N0",Phone: (403) 337-2999
23,https://standardsandlicensing.alberta.ca/detail_page.html?ID=980,Operated by TABER & DISTRICT HOUSING FOUNDATION,Lodge,CLEARVIEW LODGE,82,4730 50 Avenue,,"Taber , Alberta, T1G 1N6",Phone: (403) 223-2822 EXT: 1
24,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3464,Operated by HEARTLAND HOUSING FOUNDATION,Lodge,CLOVER BAR LODGE,288,1040 Iris Evans Way,,"Sherwood Park , Alberta, T8A 3W7",Phone: (780) 467-7360
25,https://standardsandlicensing.alberta.ca/detail_page.html?ID=923,Operated by LEDUC REGIONAL HOUSING FOUNDATION,Lodge,CLOVERLEAF MANOR,63,5204 53 Avenue,P.O. Box 490,"Warburg , Alberta, T0C 2T0",Phone: (780) 848-7717
26,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3365,Operated by LAKELAND LODGE & HOUSING FOUNDATION,Lodge,COLD LAKE LODGE,66,120 16 Street,,"Cold Lake , Alberta, T9M 0M1",Phone: (780) 639-3495
27,https://standardsandlicensing.alberta.ca/detail_page.html?ID=849,Operated by ACADIA FOUNDATION,Lodge,CONSORT LODGE,42,4530 52 Avenue,Bag 1001,"Consort , Alberta, T0C 1B0",Phone: (403) 577-3832
28,https://standardsandlicensing.alberta.ca/detail_page.html?ID=957,Operated by PINCHER CREEK FOUNDATION (ALBERTA),Lodge,CRESTVIEW LODGE,60,978 Hyde St,PO Box 1058,"Pincher Creek , Alberta, T0K 1W0",Phone: (403) 627-3833
29,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3489,Operated by BRIDGES COMMUNITY LIVING,Lodge,CRIMSON VILLAS,180,4736 - 30th Street,,"Red Deer , Alberta, T4N 5H8",Phone: (403) 343-0688
30,https://standardsandlicensing.alberta.ca/detail_page.html?ID=874,Operated by CYPRESS VIEW FOUNDATION,Lodge,CYPRESS VIEW FOUNDATION,162,722 Bassett Crescent NW,,"Medicine Hat , Alberta, T1A 7W8",Phone: (403) 525-2228
31,https://standardsandlicensing.alberta.ca/detail_page.html?ID=952,Operated by NORTH PEACE HOUSING FOUNDATION,Lodge,DEL-AIR LODGE,56,202 1 Avenue SW,Box 100,"Manning , Alberta, T0H 2M0",Phone: (780) 836-3325
32,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3093,Operated by HOMELAND HOUSING,Lodge,DIAMOND SPRING LODGE,55,4619 52 Avenue,,"Redwater , Alberta, T0A 2W0",Phone: (780) 942-4553
33,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3317,Operated by CHINOOK FOUNDATION,Lodge,DIAMOND WILLOW LODGE,51,162 South Centre Street,Box 580,"Magrath , Alberta, T0K 1J0",Phone: (403) 758-6866
34,https://standardsandlicensing.alberta.ca/detail_page.html?ID=2801,Operated by HEARTLAND HOUSING FOUNDATION,Lodge,DR. TURNER LODGE,101,9422 94 Avenue,,"Fort Saskatchewan , Alberta, T8L 0T7",Phone: (780) 998-3321
35,https://standardsandlicensing.alberta.ca/detail_page.html?ID=876,Operated by EAGLE HILL FOUNDATION (1995),Lodge,EAGLE HILL LODGE,40,5303 49 Street,Box 387,"Willingdon , Alberta, T0B 4R0",Phone: (780) 367-2717
36,https://standardsandlicensing.alberta.ca/detail_page.html?ID=877,Operated by EAGLE HILL FOUNDATION (1995),Lodge,EAGLE VIEW LODGE AND VILLA,50,4802 49 Ave,PO Box 280,"Myrnam , Alberta, T0B 3K0",Phone: (780) 366-3750
37,https://standardsandlicensing.alberta.ca/detail_page.html?ID=919,Operated by LACOMBE FOUNDATION,Lodge,ECKVILLE MANOR HOUSE,60,5111 51 Avenue,,"Eckville , Alberta, T0M 0X0",Phone: (403) 746-2661
38,https://standardsandlicensing.alberta.ca/detail_page.html?ID=3472,Operated by CHINESE SENIORS MANAGEMENT SERVICES LTD,Lodge,EDMONTON CHINESE SENIORS LODGE,82,9525 102A Ave NW,,"Edmonton , Alberta, T5H 0G2",Phone: (780) 913-0905
39,https://standardsandlicensing.alberta.ca/detail_page.html?ID=870,Operated by LAMONT COUNTY HOUSING FOUNDATION,Lodge,FATHER FILAS MANOR,42,5024 53 Avenue,,"Mundare , Alberta, T0B 3H0",Phone: (780) 764-3013
40,https://standardsandlicensing.alberta.ca/detail_page.html?ID=905,Operated by GREEN ACRES FOUNDATION,Lodge,GARDEN VIEW LODGE,146,751 1 Avenue South,,"Lethbridge , Alberta, T1J 4N7",Phone: (403) 327-3387
