,chpca_link,name,website,phone,address,bed
0,https://www.chpca.ca/listing/young-adult-cancer-canada/,Young Adult Cancer Canada,https://www.youngadultcancer.ca/,709.579.7325,"P.O. Box 29055 Torbay Road
St. John’s, Canada-wide. A1A 5B5",0
1,https://www.chpca.ca/listing/winnipeg-regional-health-authority-palliative-care-sub-program/,Winnipeg Regional Health Authority Palliative Care Program,https://wrha.mb.ca/palliative-care/,(204) 237-2400,"4th Floor, 650 Main Street
Winnipeg, Manitoba. R3B 1E2",0
2,https://www.chpca.ca/listing/westman-hospice-association/,Westman Hospice,http://www.westmanhospice.ca,(204) 727-1745,"Unit M - 435 Rosser Avenue
Brandon, Manitoba. R7A 6S2",0
3,https://www.chpca.ca/listing/the-compassionate-friends-of-canada/,The Compassionate Friends of Canada,http://www.tcfcanada.net,(250) 479-1536,"1346 Ravens View Drive
Victoria, Canada-wide. V9B 6P7",0
4,https://www.chpca.ca/listing/st-boniface-general-hospital-palliative-care-service/,St. Boniface General Hospital Palliative Care Service,http://www.sbgh.mb.ca,(204) 233-8563,"409 Taché Avenue
Winnipeg, Manitoba. R2H 2A6",15
5,https://www.chpca.ca/listing/southern-health-sante-sud/,Southern Health-Santé Sud Regional Health Authority,https://www.southernhealth.ca/en/finding-care/care-by-topic/palliative-careend-of-life,204-346-7034,"Box 470, 94 Principale St
La Broquerie, Manitoba. R0A 0W0",0
6,https://www.chpca.ca/listing/riverview-health-centre/,Riverview Health Centre,http://www.riverviewhealthcentre.com,(204) 452-3411,"1 Morley Avenue
Winnipeg, Manitoba. R3L 2P4",30
7,https://www.chpca.ca/listing/repos-jolys/,Repos Jolys,http://www.southernhealth.ca/en/finding-care/st-pierre-jolys/repos-jolys/,(204) 433-7443,"354 Préfontaine Ave
St. Pierre-Jolys, Manitoba. R0A 1V0",22
8,https://www.chpca.ca/listing/prairie-mountain-health-west/,Prairie Mountain Health - West,http://www.prairiemountainhealth.ca/palliative-care,(204) 764-4237,"Deloraine, Manitoba",0
9,https://www.chpca.ca/listing/prairie-mountain-health-north/,Prairie Mountain Health - North,http://www.prairiemountainhealth.ca/palliative-care,(204) 629-3006,", Manitoba",0
10,https://www.chpca.ca/listing/prairie-mountain-health-east/,Prairie Mountain Health - East,http://www.prairiemountainhealth.ca/palliative-care,(204) 578-2338,", Manitoba",0
11,https://www.chpca.ca/listing/prairie-mountain-health-deloraine/,Prairie Mountain Health - Deloraine,(204) 747-3958,(204) 747-1832,"Box 447
Deloraine, Manitoba. R0M 0M0",0
12,https://www.chpca.ca/listing/prairie-mountain-health-brandon/,Prairie Mountain Health - Brandon,http://www.prairiemountainhealth.ca/palliative-care,(204) 578-2340,"150 A 7th street
Brandon, Manitoba. R7A 7M2",0
13,https://www.chpca.ca/listing/palliative-manitoba/,Palliative Manitoba,http://www.palliativemanitoba.ca,(204) 889-8525,"2109 Portage Avenue
Winnipeg, Manitoba. R3J 0L3",0
14,https://www.chpca.ca/listing/northern-regional-health-authority/,Northern Regional Health Authority,http://www.northernhealthregion.com,(204) 687-1300,"84 Church Street
Flin Flon, Manitoba. R8A 1L8",0
15,https://www.chpca.ca/listing/morris-general-hospital/,Morris General Hospital,http://www.southernhealth.ca/en/finding-care/morris/morris-general-hospital,(204) 746-2301,"215 Railroad Avenue East, Box 519
Morris, Manitoba. R0G 1K0",1
16,https://www.chpca.ca/listing/jocelyn-house-hospice/,Jocelyn House Hospice,http://www.jocelynhouse.ca,(204) 255-1781,"177 Egerton Road
Winnipeg, Manitoba. R2M 2W7",4
