,chpca_link,name,website,phone,address,bed
0,https://www.chpca.ca/listing/young-adult-cancer-canada/,Young Adult Cancer Canada,https://www.youngadultcancer.ca/,709.579.7325,"P.O. Box 29055 Torbay Road
St. John’s, Canada-wide. A1A 5B5",0
1,https://www.chpca.ca/listing/the-compassionate-friends-of-canada/,The Compassionate Friends of Canada,http://www.tcfcanada.net,(250) 479-1536,"1346 Ravens View Drive
Victoria, Canada-wide. V9B 6P7",0
2,https://www.chpca.ca/listing/sunrise-health-region-yorkton/,Sunrise Health Region - Yorkton,http://www.sunrisehealthregion.sk.ca,(306) 786-0778,"270 Bradbrooke Drive
Yorkton, Saskatchewan. S3N 2K6",
3,https://www.chpca.ca/listing/sun-country-health-region-palliative-care/,Sun Country Health Region - Palliative Care,(306) 637-3630,(306) 637-3636,"1174 Nicholson Rd.
Estevan, Saskatchewan. S4A 2V3",0
4,https://www.chpca.ca/listing/st-pauls-hospital-palliative-care-unit/,St. Paul’s Hospital — Palliative Care Unit,https://www.stpaulshospital.org/sph-managed-programs/palliative.php,306 655 5000,"1702 - 20th Street West
Saskatoon, Saskatchewan. S7M 0Z9",12
5,https://www.chpca.ca/listing/southeast-treaty-4-tribal-council/,Southeast Treaty 4 Tribal Council,http://www.ochapowace.com/,306-696-2425,"Ochapowace First Nation SK
Whitewood, Saskatchewan",0
6,https://www.chpca.ca/listing/saskatoon-health-region/,Saskatoon Health Region,http://www.saskatoonhealthregion.ca,(306) 655-4346,"#201-310 Idylwyld Drive N.
Saskatoon, Saskatchewan. S7L 0Z4",
7,https://www.chpca.ca/listing/saskatchewan-hospice-palliative-care-association/,Saskatchewan Hospice Palliative Care Association,http://www.saskpalliativecare.org,(306) 559-1838,"P.O. Box 37053
Regina, Saskatchewan. S4S 7K3",0
8,https://www.chpca.ca/listing/saskatchewan-health-authority-advance-care-planning-program/,Saskatchewan Health Authority — Advance Care Planning Program,https://www.saskhealthauthority.ca/your-health/conditions-diseases-services/advance-care-planning,306-766-5922,"Saskatoon, Saskatchewan",0
9,https://www.chpca.ca/listing/regina-quappelle-health-region-palliative-care-services/,Regina Wascana Grace Hospice,https://williamboothregina.ca/regina-grace-hospice/,(306) 766-2674,"4101 Dewdney Avenue
Regina, Saskatchewan. S4T 1A5",10
10,https://www.chpca.ca/listing/prince-albert-parkland-health-region-home-care/,Prince Albert Parkland Health Region Home Care,http://www.paphr.ca,(306) 922-2969,"196 9th St. East
Prince Albert, Saskatchewan. S6V 0X5",0
