,street_1,street_2,split_city,postal,factor
0,185 Despins Street,nil,Winnipeg,MB R2H 2B3,3
1,233 St Phillips Dr,nil,Arborg,MB R0C 0A0,3
2,PO Box 110,1 Steenson Ave,Ashern,MB R0C 0E0,4
3,Box 128,531 Elizabeth St,Baldur,MB R0K 0B0,4
4,Box 5000,86 Ellis Dr,Killarney,MB R0K 1G0,4
5,190 Fort St,nil,Winnipeg,MB R3C 1C9,3
6,200 1St E,nil,Benito,MB R0L 0C0,3
7,Box 10,96 1st Ave,Gimli,MB R0C 1B0,4
8,212 Manchester Ave,nil,Selkirk,MB R1A 0B6,3
9,1045 Concordia Ave,nil,Winnipeg,MB R2K 3S7,3
10,399 Hospital St,nil,Steinbach,MB R5G 0E6,3
11,Box 2000,843 Gertrude St,Birtle,MB R0M 0C0,4
12,Box 889,305 Mill Rd,Boissevain,MB R0K 0E0,4
13,120 4 Ave SW,nil,Carman,MB R0G 0J0,3
14,Box 447,103 Kellett St. S.,Deloraine,MB R0M 0M0,4
15,1325 Erin St,nil,Winnipeg,MB R3E 3R6,3
16,Box 2000,340 Toronto St,Carberry,MB R0K 0H0,4
17,5501 Roblin Blvd,nil,Winnipeg,MB R3R 0G8,3
18,1000 Molson St,nil,Winnipeg,MB R2K 4L5,3
19,Box 940,15 Hospital St,Roblin,MB R0L 1P0,4
20,2161 Sioux Valley Reserve,nil,Griswold,MB R0M 0S0,3
21,625 3rd St SW,nil,Dauphin,MB R7N 1R7,3
22,2109 Portage Avenue,nil,Winnipeg,MB R3J 0L3,3
23,Box 447,109 Kellett St,Deloraine,MB R0M 0M0,4
24,510 6th St,nil,Brandon,MB R7A 3N9,3
25,171 Donwood Drive,nil,Winnipeg,MB R2G 0V9,3
26,150 9th St SE,nil,Portage la Prairie,MB R1N 3T6,3
27,515 Mission St,Box 420,Ste. Rose,MB R0L 1S0,4
28,646 James Ave,nil,Beausejour,MB R0E 0C0,3
29,240 5th Ave NE,nil,Altona,MB R0G 0B0,3
30,Box 70,12 Antrim St.,Elkhorn,MB R0M 0N0,4
31,26 Main St,nil,Emerson,MB R0A 0L0,3
32,60 Queen Elizabeth Rd.,Box 250,Erickson,MB R0J 0P0,4
33,40 Railway Avenue,nil,Eriksdale,MB R0C 0W0,3
34,1351 13St,nil,Brandon,MB R7A 4S6,3
35,Box 119,7 Chalet Dr,Fisher Branch,MB R0C 0Z0,4
36,Box 340,50 Church St,Flin Flon,MB R8A 1K7,4
37,40 Rogers St.,nil,Notre Dame de Lourdes,MB R0G 1M0,3
38,450 River Rd,nil,Winnipeg,MB R2M 5M4,3
39,1275 Burrows Ave,nil,Winnipeg,MB R2X 0B8,3
40,PO Box 261,nil,Oxford House,MB R0B 1C0,3
41,Box 308,nil,Pine Falls,MB R0E 1M0,3
42,100 Cutforth St. N.,Box 368,Gilbert Plains,MB R0L 0X0,4
43,Box 2000,15 Gillam Dr,Gillam,MB R0B 0L0,4
44,Box 310,219 Murray Ave,Glenboro,MB R0K 0X0,4
45,1679 Pembina Hwy,nil,Winnipeg,MB R3T 2G6,3
46,2280 St Mary's Rd,nil,Winnipeg,MB R2N 3Z6,3
47,811 School Rd,nil,Winnipeg,MB R2Y 0S8,3
48,162 3rd Ave SE,nil,Teulon,MB R0C 3B0,3
49,308 Jackson Street,Box 130,Grandview,MB ROL IWO,4
50,177 Birch Ave,nil,Hamiota,MB R0M 0T0,3
51,Box 280,617 River Ave,Hartney,MB R0M 0X0,4
52,3555 Portage Ave,nil,Winnipeg,MB R3K 0X2,3
53,930 26th St,nil,Brandon,MB R7B 2B8,3
54,165 Aberdeen Avenue,nil,Winnipeg,MB R2W 1T9,3
55,1970 Henderson Hwy,nil,Winnipeg,MB R2G 1P2,3
56,PO Box 28,680 Pine Dr,Oakbank,MB R0E 1J0,4
57,75 McIntosh St E,nil,Lac du Bonnet,MB R0E 1A0,3
58,24 9th St SE,nil,Portage la Prairie,MB R1N 3V4,3
59,97 1st Street South,nil,Lundar,MB R0C 1Y0,3
60,1081 Andrews St,nil,Winnipeg,MB R2V 2G9,3
61,2040 Camp St,Box 2030,Lynn Lake,Manitoba R0B 0W0,4
62,87 Grafton St,nil,MacGregor,MB R0H 0R0,3
63,500 Mandalay Dr,nil,Winnipeg,MB R2P 1V4,3
64,Box 250,nil,McCreary,MB R0J 1B0,3
65,Box 10790,56 Kiche Maskanow,Opaskwayak,MB R0B 2J0,4
66,577 St Anne's Rd,nil,Winnipeg,MB R2M 3G5,3
67,Box 459,147 Summit St,Melita,MB R0M 1L0,4
68,235 Park St,nil,Grunthal,MB R0A 0R0,3
69,280 Balderstone Rd,nil,West Saint Paul,MB R4A 4A6,3
70,138 3rd Ave SW,nil,Minnedosa,MB R0J 1E0,3
71,99 Cornish Avenue,nil,Winnipeg,MB R3C 1A2,3
72,44 Furby St,nil,Winnipeg,MB R3C 2A1,3
73,526 Mary St.,Box 490,Shoal Lake,MB R0J 1Z0,4
74,500 Veterans Way,nil,Neepawa,MB R0J 1H0,3
75,Box 460,nil,Nelson House,MB R0B 1A0,3
76,100A Heritage Trail,nil,Niverville,MB R0A 0A1,3
77,274 Bracken St,nil,Flin Flon,MB R8A 1P4,3
78,879 Thompson Dr,nil,Thompson,MB R8N 0A9,3
79,2395 Ness Ave,nil,Winnipeg,MB R3J 1A5,3
80,Box 366,nil,Fisher River,MB R0C 1S0,3
81,301 Redonda St,nil,Winnipeg,MB R2C 1L7,3
82,232 Carrie St,nil,Manitou,MB R0G 1G0,3
83,285 Pembina Hwy,nil,Winnipeg,MB R3L 2E1,3
84,Bldg 305 Rossville,nil,Norway House,MB R0B 1B0,3
85,70 Poseidon Bay,nil,Winnipeg,MB R3M 3E5,3
86,424 Broadway Ave,nil,Pilot Mound,MB R0G 1P0,3
