,link,type,name,city,full_address,full_phone,website,web check
1,https://www.google.com/search?q=Actionmarguerite+Tache+Winnipeg,Personal Care Home,Actionmarguerite Saint-Boniface,Winnipeg,"185 Despins Street, Winnipeg, MB R2H 2B3",(204) 233-3692,https://www.actionmarguerite.ca/about-us/homes/,done
2,https://www.google.com/search?q=Arborg+Personal+Care+Home+Arborg,Personal Care Home,Arborg Personal Care Home,Arborg,"233 St Phillips Dr, Arborg, MB R0C 0A0",(204) 376-5226,https://www.caredupon.ca/care-home/arborg-personal-care-home,done
3,https://www.google.com/search?q=Ashern+Personal+Care+Home+Ashern,Personal Care Home,Ashern Personal Care Home,Ashern,"PO Box 110, 1 Steenson Ave, Ashern, MB R0C 0E0",(204) 768-5216,https://www.liveyourretirement.com/home/ashern-personal-care-home,done
4,https://www.google.com/search?q=Baldur+Manor+Personal+Care+Home+Baldur,Personal Care Home,Baldur Manor Personal Care Home,Baldur,"Box 128, 531 Elizabeth St, Baldur, MB R0K 0B0",(204) 535-2922,https://prairiemountainhealth.ca/programs-and-services/personal-care-homes/locations/,done
5,https://www.google.com/search?q=Bayside+Personal+Care+Home+Killarney,Personal Care Home,Bayside Personal Care Home,Killarney,"Box 5000, 86 Ellis Dr, Killarney, MB R0K 1G0",(204) 523-4661,https://prairiemountainhealth.ca/programs-and-services/personal-care-homes/locations/?name-directory-search-value=Bayside&dir=2&as_sfid=AAAAAAXP3W-KI-1Sg5nVdr-guEqySqyHKMMrx7vcpCOn4eKrCdXuLnGwJ3S4oPAbvZdBPl6yGPUH2fIeIoIBQzZ2fzbqzVbb_8REyfZ4RmtF2mubSrmMistGpsawd6AJsEn1-UtsyksKCuis_Qdhd6lZdrvUy365DwLmQJCKU9HjktmHjg%3D%3D&as_fid=91c456708c0e2e14dd43ddb066701f8aa74fdda6,done
6,https://www.google.com/search?q=Beacon+Hill+Lodge+Winnipeg,Personal Care Home,Beacon Hill Lodge,Winnipeg,"190 Fort St, Winnipeg, MB R3C 1C9",(204) 942-7541,https://reveraliving.com/en/live-with-us/manitoba/winnipeg/beacon-hill-lodge,done
7,https://www.google.com/search?q=Benito+Health+Centre+Benito,Personal Care Home,Benito Health Centre,Benito,"200 1St E, Benito, MB R0L 0C0",(204) 539-2815,https://www.hospitalsdata.com/canada/benito-health-centre-benito.html,done
8,https://www.google.com/search?q=Betel+Personal+Care+Home+-+Gimli+Gimli,Personal Care Home,Betel Personal Care Home - Gimli,Gimli,"Box 10, 96 1st Ave, Gimli, MB R0C 1B0",(204) 642-5556,https://www.betelhomefoundation.ca/contact-us-gimli,done
9,https://www.google.com/search?q=Betel+Personal+Care+Home+-+Selkirk+Selkirk,Personal Care Home,Betel Personal Care Home - Selkirk,Selkirk,"212 Manchester Ave, Selkirk, MB R1A 0B6",(204) 482-5469,https://www.betelhomefoundation.ca/copy-of-contact-us-gimli,done
10,https://www.google.com/search?q=Bethania+Mennonite+Personal+Care+Home+Winnipeg,Personal Care Home,Bethania Mennonite Personal Care Home,Winnipeg,"1045 Concordia Ave, Winnipeg, MB R2K 3S7",(204) 667-0795,https://wrha.mb.ca/long-term-care/bethania-mennonite-personal-care-home/,done
11,https://www.google.com/search?q=Bethesda+Place+Steinbach,Personal Care Home,Bethesda Place,Steinbach,"399 Hospital St, Steinbach, MB R5G 0E6",(204) 326-6411,https://www.southernhealth.ca/en/finding-care/steinbach/bethesda-place/,done
12,https://www.google.com/search?q=Birtle+Health+Centre/Sunnyside+Manor+Birtle,Personal Care Home,Birtle Health Centre/Sunnyside Manor,Birtle,"Box 2000, 843 Gertrude St, Birtle, MB R0M 0C0",(204) 842-3317,https://prairiemountainhealth.ca/our-locations/birtle/,done
13,https://www.google.com/search?q=Boissevain+PCH/Evergreen+Place+Boissevain,Personal Care Home,Boissevain PCH/Evergreen Place,Boissevain,"Box 889, 305 Mill Rd, Boissevain, MB R0K 0E0",(204) 534-2451,https://prairiemountainhealth.ca/our-locations/boissevain/,done
14,https://www.google.com/search?q=Boyne+Lodge+Carman,Personal Care Home,Boyne Lodge,Carman,"120 4 Ave SW, Carman, MB R0G 0J0",(204) 745-6715,https://www.southernhealth.ca/en/finding-care/carman/boyne-lodge-personal-care-home/,done
15,https://www.google.com/search?q=Bren+Del+Win+Lodge+Deloraine,Personal Care Home,Bren Del Win Lodge,Deloraine,"Box 447, 103 Kellett St. S., Deloraine, MB R0M 0M0",(204) 747-1826,https://prairiemountainhealth.ca/our-locations/deloraine/,done
16,https://www.google.com/search?q=Calvary+Place+Personal+Care+Home+Winnipeg,Personal Care Home,Calvary Place Personal Care Home,Winnipeg,"1325 Erin St, Winnipeg, MB R3E 3R6",(204) 943-4424,https://calvaryplacepch.com/contact-us/,done
17,https://www.google.com/search?q=Carberry+Personal+Care+Home+Carberry,Personal Care Home,Carberry Personal Care Home,Carberry,"Box 2000, 340 Toronto St, Carberry, MB R0K 0H0",(204) 834-8832,https://prairiemountainhealth.ca/our-locations/carberry/,done
18,https://www.google.com/search?q=Charleswood+Care+Centre+Winnipeg,Personal Care Home,Charleswood Care Centre,Winnipeg,"5501 Roblin Blvd, Winnipeg, MB R3R 0G8",(204) 888-3363,https://reveraliving.com/en/live-with-us/manitoba/winnipeg/charleswood,done
