no,facility name,bed,city,authority,phone,post,postal code,email,address check,authority url,website,type,source,operator
1,Fischer Place/Mill Site Lodge,93,100 Mile House,Interior Health,(250) 395-7696,"555 CEDAR AVE S100 MILE HOUSE BC V0K 2E0",V0K 2E0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/91875/,https://www.interiorhealth.ca/locations/fischer-place,Long-Term,Seniors Advocate,
2,Carefree Manor,20,100 Mile House,Interior Health,(250) 395-4807,"812 CARIBOO TRAIL100 MILE HOUSE BC V0K 2E0",V0K 2E0,info@carefreemanor.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1341,http://www.carefreemanor.ca,Assited Living,Ministry of Health,1013779 BC LTD 
3,Maplewood House,78,Abbotsford,Fraser Health,(604) 853-5585,"1919 JACKSON STABBOTSFORD BC V2S 2Z8",V2S 2Z8,admin@maplewood.bc.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/93664/,https://www.maplewood.bc.ca/care-services/,Long-Term,Seniors Advocate,
4,Menno Assisted Living,95,Abbotsford,Fraser Health,(604) 851-4004,"2021 PRIMROSE STABBOTSFORD BC V2S 2Y9",V2S 2Y9,info@mennoplace.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1086,http://www.mennoplace.ca,Assited Living,Ministry of Health,Mennonite Benevolent Society 
5,MSA Manor,34,Abbotsford,Fraser Health,(604) 853-5831,"2510 GLADWIN RDABBOTSFORD BC V2T 3N9",V2T 3N9,admin@maplewood.bc.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/70951/,https://www.maplewood.bc.ca/,Long-Term,Seniors Advocate,
6,Hallmark on the Park,69,Abbotsford,Fraser Health,(604) 859-0053,"3055 PRINCESS STABBOTSFORD BC V2T 4A8",V2T 4A8,inquiry@baptisthousing.org,done,https://connect.health.gov.bc.ca//assisted-living-residence/1340,http://baptisthousing.org,Assited Living,Ministry of Health,Baptist Housing Hallmark Society 
7,Brookdale House,5,Abbotsford,Fraser Health,(604) 853-2035,"30961 BROOKDALE CRTABBOTSFORD BC V2T 5S3",V2T 5S3,contact@brookdale.house,done,https://connect.health.gov.bc.ca//assisted-living-residence/1268,http://www.brookdale.house,Assited Living,Ministry of Health,Brookdale House Ltd 
8,Tabor Home,118,Abbotsford,Fraser Health,(604) 859-8715,"31944 SUNRISE CRESABBOTSFORD BC V2T 1N5",V2T 1N5,info.home@taborvillage.org,done,https://www.seniorsadvocatebc.ca/quickfacts/location/70984/,https://www.taborvillage.org/who-we-are/contact-us/,Long-Term,Seniors Advocate,
9,Tabor Court,104,Abbotsford,Fraser Health,(604) 859-8718,"31954 SUNRISE CRESABBOTSFORD BC V2T 1N6",V2T 1N6,info.court@taborvillage.org,done,https://connect.health.gov.bc.ca//assisted-living-residence/1109,http://taborvillage.org,Assited Living,Ministry of Health,Tabor Home Society 
10,Oxford Senior Care,84,Abbotsford,Fraser Health,(604) 853-7854,"32073 SHERWOOD CRESABBOTSFORD BC V2T 1C1",V2T 1C1,theoxford@tcgcare.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/30742/,http://www.tcgcare.com/oxford,Long-Term,Seniors Advocate,
