,link,name,city,address 1,address 2,phone 1,phone 2
0,https://www.google.com/search?q=Actionmarguerite+Tache+Winnipeg,Actionmarguerite Tache,Winnipeg,"185 Rue Despins, Winnipeg, MB R2H 2B3",No Address 2,No Phone 1,(204) 233-3692
1,https://www.google.com/search?q=Arborg+Personal+Care+Home+Arborg,Arborg Personal Care Home,Arborg,"233 St Phillips Dr, Arborg, MB R0C 0A0",No Address 2,(204) 376-5226,No Phone 2
2,https://www.google.com/search?q=Ashern+Personal+Care+Home+Ashern,Ashern Personal Care Home,Ashern,No Address 1,"1 Steenson Ave, Ashern, MB R0C 0E0",No Phone 1,(204) 768-5216
3,https://www.google.com/search?q=Baldur+Manor+Personal+Care+Home+Baldur,Baldur Manor Personal Care Home,Baldur,"531 Elizabeth St, Baldur, MB R0K 0B0",No Address 2,(204) 535-2922,No Phone 2
4,https://www.google.com/search?q=Bayside+Personal+Care+Home+Killarney,Bayside Personal Care Home,Killarney,"86 Ellis Dr, Killarney, MB R0K 1G0",No Address 2,(204) 523-3212,No Phone 2
5,https://www.google.com/search?q=Beacon+Hill+Lodge+Winnipeg,Beacon Hill Lodge,Winnipeg,"190 Fort St, Winnipeg, MB R3C 1C9",No Address 2,No Phone 1,(204) 942-7541
6,https://www.google.com/search?q=Benito+Health+Centre+Benito,Benito Health Centre,Benito,"1 St E, Benito, MB R0L 0C0",No Address 2,No Phone 1,No Phone 2
7,https://www.google.com/search?q=Betel+Personal+Care+Home+-+Gimli+Gimli,Betel Personal Care Home - Gimli,Gimli,"212 Manchester Ave, Selkirk, MB R1A 0B7",No Address 2,(204) 482-5469,No Phone 2
8,https://www.google.com/search?q=Betel+Personal+Care+Home+-+Selkirk+Selkirk,Betel Personal Care Home - Selkirk,Selkirk,"212 Manchester Ave, Selkirk, MB R1A 0B7",No Address 2,(204) 482-5469,No Phone 2
9,https://www.google.com/search?q=Bethania+Mennonite+Personal+Care+Home+Winnipeg,Bethania Mennonite Personal Care Home,Winnipeg,No Address 1,"1045 Concordia Ave, Winnipeg, MB R2K 3S7",No Phone 1,(204) 667-0795
10,https://www.google.com/search?q=Bethesda+Place+Steinbach,Bethesda Place,Steinbach,"399 Hospital St, Steinbach, MB R5G 0E6",No Address 2,(204) 326-6411,No Phone 2
11,https://www.google.com/search?q=Birtle+Health+Centre/Sunnyside+Manor+Birtle,Birtle Health Centre/Sunnyside Manor,Birtle,"843 Gertrude St, Birtle, MB R0M 0C0",No Address 2,(204) 842-3317,No Phone 2
12,https://www.google.com/search?q=Boissevain+PCH/Evergreen+Place+Boissevain,Boissevain PCH/Evergreen Place,Boissevain,"305 Mill Rd, Boissevain, MB R0K 0E0",No Address 2,(204) 534-3337,No Phone 2
13,https://www.google.com/search?q=Boyne+Lodge+Carman,Boyne Lodge,Carman,No Address 1,"120 4 Ave SW, Carman, MB R0G 0J0",No Phone 1,(204) 745-6715
14,https://www.google.com/search?q=Bren+Del+Win+Lodge+Deloraine,Bren Del Win Lodge,Deloraine,No Address 1,"103 Kellett St, Deloraine, MB R0M 0M0",No Phone 1,(204) 747-1826
15,https://www.google.com/search?q=Calvary+Place+Personal+Care+Home+Winnipeg,Calvary Place Personal Care Home,Winnipeg,No Address 1,"1325 Erin St, Winnipeg, MB R3E 3R6",No Phone 1,No Phone 2
