,link,operator,name,bed,address_1,address_2,full_address,phone,city,facilityNumber,info
0,http://personalcarehomes.saskatchewan.ca/Facility/Details/cb6afcfa-c528-43ff-b42d-a14ea85f7377,9 Point 9 Care Homes Ltd.,9 Point 9 Care Homes Ltd.,15,308 110th St,Saskatoon SK S7N 1S3,308 110th St Saskatoon SK S7N 1S3,(306) 261-5688,Saskatoon,9155,"Initial Licence Date: 2022-07-25, The door to the balcony on the second floor must be secured so the balcony cannot be accessed by residents or others, Cannot admit and care for residents at risk of wandering."
1,http://personalcarehomes.saskatchewan.ca/Facility/Details/1bf8757e-182d-46cb-875d-76a34b6e6651,A1 Care Homes Inc.,A1 Care Homes Inc.,14,1018 Muzyka Rd,Saskatoon SK S7W 0G4,1018 Muzyka Rd Saskatoon SK S7W 0G4,(306) 974-0180,Saskatoon,8403,"Initial Licence Date: 2011-12-16,Approx. Start Rate per Month: $1800 to $2199,Single rooms,Double rooms"
2,http://personalcarehomes.saskatchewan.ca/Facility/Details/bea1c5ee-a1dc-46d5-85b5-004e19baebf4,A1 Care Homes Inc,A1 Care Homes Inc.,15,1022 Muzyka Rd,Saskatoon SK S7W 0G4,1022 Muzyka Rd Saskatoon SK S7W 0G4,(306) 241-9118,Saskatoon,8421,"Initial Licence Date: 2012-08-01,Approx. Start Rate per Month: $1800 to $2199,Single rooms,Double rooms"
3,http://personalcarehomes.saskatchewan.ca/Facility/Details/7895407d-eb0d-4984-9cdf-a1b8eaf983f4,A1 Care Homes Inc.,A1 Care Homes Inc.,15,1026 Muzyka Rd,Saskatoon SK S7W 0G4,1026 Muzyka Rd Saskatoon SK S7W 0G4,(306) 500-5562,Saskatoon,8436,"Initial Licence Date: 2014-05-08,Approx. Start Rate per Month: $2200 to $2799,Single rooms,Double rooms"
4,http://personalcarehomes.saskatchewan.ca/Facility/Details/ff537550-13bc-495b-8cc3-6d03d5d82ab9,Raquel A. Barros,Albert Park Senior Care Home,5,4518 Montague St,Regina SK S4S 3K7,4518 Montague St Regina SK S4S 3K7,(306) 586-0689,Regina,8401,"Initial Licence Date: 2011-11-01,Approx. Start Rate per Month: $2200 to $2799,Double rooms"
5,http://personalcarehomes.saskatchewan.ca/Facility/Details/e6646e5a-6ac6-4076-ba12-8f291cdc1e23,Allegro Seniors Home Incorporated,Allegro Seniors Home Incorporated,10,5630 Beacon Pl,Regina SK S4W 0J7,5630 Beacon Pl Regina SK S4W 0J7,(306) 807-1573,Regina,9113,"Initial Licence Date: January 23,2020,Cannot admit or care for residents who are at risk of wandering"
6,http://personalcarehomes.saskatchewan.ca/Facility/Details/24f90009-698a-4212-acbe-faec1e89765e,101208269 Saskatchewan Ltd.,Almost Home Care Home,10,114 4 Ave,Biggar SK S0K 0M0,114 4 Ave Biggar SK S0K 0M0,(306) 948-3615,Biggar,8448,"Initial Licence Date: 2014-03-04,Approx. Start Rate per Month: $1800 to $2199,Single rooms,Double rooms"
7,http://personalcarehomes.saskatchewan.ca/Facility/Details/d6e8342e-02f2-46c1-be25-96b77ad1263e,Angie Kopera,Angie Kopera,10,236 22 St E,Prince Albert SK S6V 1N1,236 22 St E Prince Albert SK S6V 1N1,(306) 764-3058,Prince Albert,7382,"Initial Licence Date: 2000-09-01,Approx. Start Rate per Month: $2200 to $2799,Cannot admit or care for residents who are at risk of wandering,Single rooms"
8,http://personalcarehomes.saskatchewan.ca/Facility/Details/49ff7950-7e6f-4c3c-8e36-a16483d50038,Applewood Manor Inc.,Applewood Manor,10,510 Paton Crescent,Saskatoon SK S7W 0B8,510 Paton Crescent Saskatoon SK S7W 0B8,(306) 651-2344,Saskatoon,8429,"Initial Licence Date: 2013-01-11,Approx. Start Rate per Month: $2200 to $2799 to start,Single rooms"
9,http://personalcarehomes.saskatchewan.ca/Facility/Details/046a2b04-2bf4-4c58-a981-35467d9c0f6c,Arbor Oaks Manor Inc.,Arbor Oaks Manor,9,10 Kyle St,Regina SK S4R 5Y2,10 Kyle St Regina SK S4R 5Y2,(306) 545-3176,Regina,7792,"Initial Licence Date: 2002-12-19,Approx. Start Rate per Month: $2800 to $3499,Single rooms"
10,http://personalcarehomes.saskatchewan.ca/Facility/Details/8d33e0a2-69ca-4b33-93a2-133421a0fd4d,Arbor Villa Care Home Inc,Arbor Villa Care Home Inc.,13,315 Kenderdine Road,Saskatoon SK S7N 3S9,315 Kenderdine Road Saskatoon SK S7N 3S9,(306) 249-3317,Saskatoon,8086,"Initial Licence Date: 2005-05-01,Approx. Start Rate per Month: $1800 to $2199,Can only admit and care for residents to bedrooms on the lower two levels who can climb and descend steps independently,Single rooms,Double rooms."
11,http://personalcarehomes.saskatchewan.ca/Facility/Details/9fc01e5d-146f-4aa5-8501-b84630d4f5d4,Arbor Villa Care Home Inc,Arbor Villa Care Home Inc.,9,202 Lewis Crescent,Saskatoon SK S7L 7H5,202 Lewis Crescent Saskatoon SK S7L 7H5,(306) 384-1419,Saskatoon,8047,"Initial Licence Date: 2005-02-01,Approx. Start Rate per Month: $1800 to $2199,Can only admit and care for residents who can climb and descend stairs independently,Single rooms,Double rooms"
12,http://personalcarehomes.saskatchewan.ca/Facility/Details/41331b9e-8b21-42a5-a8ca-84439567d9e2,Safia Siasang,Ashton Manor,10,27 Sidney St,Regina SK S4X 1X1,27 Sidney St Regina SK S4X 1X1,(306) 569-7755,Regina,8389,"Initial Licence Date: 2011-04-01,Approx. Start Rate per Month: $2800 to $3499,Single rooms"
13,http://personalcarehomes.saskatchewan.ca/Facility/Details/9c15c503-0476-467f-9b9b-eac477a21542,Aspen Bluffs Villa Inc.,Aspen Bluffs Villa Inc.,34,27 Alderwood Pl,Yorkton SK S3N 4G3,27 Alderwood Pl Yorkton SK S3N 4G3,(306) 783-8452,Yorkton,8320,"Initial Licence Date: 2008-03-07,Approx. Start Rate per Month: $2200 to $2799,Single rooms"
14,http://personalcarehomes.saskatchewan.ca/Facility/Details/20a72979-11c5-4723-94ce-e5612286ff35,Salud Tampus,Aspen Grove Care Home,14,1119 Front Ave,Grenfell SK S0G 2B0,1119 Front Ave Grenfell SK S0G 2B0,(306) 552-8314,Grenfell,9137,"Initial Licence Date: 2021-08-31,Approx Start Rate per Month: $1800 to $2199,Cannot admit residents at risk for wandering."
15,http://personalcarehomes.saskatchewan.ca/Facility/Details/189e0373-6028-4142-985e-59317876bd15,Sienna-Sabra GP Corp. and Sienna Services Corp.,Aspira Hunter Village Retirement Living,30,250 Hunter Rd,Saskatoon SK S7T 0Y4,250 Hunter Rd Saskatoon SK S7T 0Y4,(306) 664-0501 x 227,Saskatoon,9153,"Initial Licence Date: 2022-05-03,Double rooms"
16,http://personalcarehomes.saskatchewan.ca/Facility/Details/e0f6e5ac-c28a-46b6-9747-434fec21bda7,Sienna-Sabra GP Corp. and Sienna Services Corp.,Aspira Riverbend Crossing Retirement Living,68,2235 Heseltine Rd,Regina SK S4V 3G8,2235 Heseltine Rd Regina SK S4V 3G8,(306) 347-7773,Regina,9150,"Initial Licence Date: 2022-05-03,Single rooms,Double rooms"
17,http://personalcarehomes.saskatchewan.ca/Facility/Details/4d27d5da-1b91-454e-a464-70aa0129b02d,Sienna-Sabra GP Corp. and Sienna Services Corp.,Aspira Stonebridge Crossing Retirement Living,130,102 Wellman Crescent,Saskatoon SK S7T 0G3,102 Wellman Crescent Saskatoon SK S7T 0G3,(306) 974-7990,Saskatoon,9151,"Initial Licence Date: 2022-05-03,Suites that are not included in the Memory Care Unit - Cannot admit or care for residents who are at risk of wandering.,Double rooms"
18,http://personalcarehomes.saskatchewan.ca/Facility/Details/9480ae0e-6e27-49df-958c-df8fd43a4ab7,Sienna-Sabra GP Corp. and Sienna Services Corp.,Aspira West Park Crossing Retirement Living,88,1801 Meier Dr,Moose Jaw SK S6J 0C3,1801 Meier Dr Moose Jaw SK S6J 0C3,(306) 694-4744,Moose Jaw,9149,"Initial Licence Date: 2022-05-03,Single rooms,Double rooms"
19,http://personalcarehomes.saskatchewan.ca/Facility/Details/8f7488da-8b1f-406e-bfb8-85ce15ea48bf,Sienna-Sabra GP Corp. and Sienna Services Corp.,Aspira Yorkton Crossing Retirement Living,88,348 Morrison Dr,Yorkton SK S3N 4G2,348 Morrison Dr Yorkton SK S3N 4G2,(306) 782-0005,Yorkton,9152,"Initial Licence Date: 2022-05-03,Single rooms,Double rooms"
20,http://personalcarehomes.saskatchewan.ca/Facility/Details/0ea79ad0-d2d4-4265-b64b-bfc86d952af1,Autumn House Independent Living Facility Inc.,Autumn House Independent Living Facility,20,143 Green St,Gull Lake SK S0N 1A0,143 Green St Gull Lake SK S0N 1A0,(306) 672-3672,Gull Lake,8335,"Initial Licence Date: 2008-09-01,Approx. Start Rate per Month: $2200 to $2799,Single rooms"
21,http://personalcarehomes.saskatchewan.ca/Facility/Details/b9d7b5f7-336c-45ac-9761-160756890b58,101251557 Saskatchewan Ltd.,Autumn Personal Care Home,10,3821,Regina Ave ,3821 Regina Ave Regina SK S4S 0H8,(306) 584-8421,Regina,8422,"Initial Licence Date: 2012-08-10,Approx. Start Rate per Month: $3500 to $3999,Single rooms,Double rooms"
22,http://personalcarehomes.saskatchewan.ca/Facility/Details/418f6196-f21c-4ba0-84d9-430c70343eab,Baraka Care Homes Ltd.,Baraka Care Homes Ltd,13,270 Meilicke Road,Saskatoon SK S7K 6R1,270 Meilicke Road Saskatoon SK S7K 6R1,(306) 491-5358,Saskatoon,8344,"Initial Licence Date: 2009-02-01,Approx. Start Rate per Month: $2200 to $2799,Can only admit and care for residents who can climb and descend steps independently,Single rooms,Double rooms"
23,http://personalcarehomes.saskatchewan.ca/Facility/Details/084fb8e0-69c8-426f-b787-68fe7289d823,Baraka Care Homes Ltd.,Baraka Care Homes Ltd.,10,205 Cruise St,Saskatoon SK S7N 2C4,205 Cruise St Saskatoon SK S7N 2C4,(306) 380-8042,Saskatoon,8306,"Initial Licence Date: 2007-10-01,Approx. Start Rate per Month: $2200 to $2799,Single rooms"
24,http://personalcarehomes.saskatchewan.ca/Facility/Details/c89f8924-3140-473e-8484-ac9e09746bc0,Baraka Care Homes Ltd.,Baraka Care Homes Ltd.,15,318 Maguire Ct,Saskatoon SK S7W 1A3,318 Maguire Ct Saskatoon SK S7W 1A3,(306) 380-8042,Saskatoon,9144,"Initial Licence Date: 2021-12-21,Approx Start Rate per Month: $2200 to $2799,Single rooms"
25,http://personalcarehomes.saskatchewan.ca/Facility/Details/6623f63c-fbd3-49dc-8333-d5ebf9c46522,Baraka Care Homes Ltd.,Baraka Care Homes Ltd.,15,322 Maguire Ct,Saskatoon SK S7W 1A3,322 Maguire Ct Saskatoon SK S7W 1A3,(306) 380-8042,Saskatoon,9145,"Initial Licence Date: 2021-12-21,Approx Start Rate per Month: $2200 to $2799"
26,http://personalcarehomes.saskatchewan.ca/Facility/Details/102eb42a-166a-4614-8a13-9822ae00b9e2,102041978 Saskatchewan Ltd.,Beacon House Care Home,15,1138 Evergreen Boulevard,Saskatoon SK S7W 0P3,1138 Evergreen Boulevard Saskatoon SK S7W 0P3,(306) 952-3338,Saskatoon,9081,"Initial Licence Date: 2018-05-01,Approx. Start rate per Month: $2800 to $3499,Single rooms,Double rooms"
27,http://personalcarehomes.saskatchewan.ca/Facility/Details/5d0c1320-37bd-461f-ad97-24aa739a567c,Beacon House Care Home Ltd.,Beacon House Care Home Ltd.,15,407 McFaull Cresent,Saskatoon SK S7V 0T2,407 McFaull Cresent Saskatoon SK S7V 0T2,(306) 881-8601,Saskatoon,9163,Initial Licence date 2023 01 31
28,http://personalcarehomes.saskatchewan.ca/Facility/Details/4946100f-af85-46fe-9dbf-908258dd3b18,Irineo Balicanta & Beatriz Robles,Beatriz Robles and Irineo Balicanta,10,510 Spencer Crescent,Saskatoon SK S7K 7T4,510 Spencer Crescent Saskatoon SK S7K 7T4,(306) 934-5903,Saskatoon,4138,"Initial Licence Date: 1994-11-18,Approx. Start Rate per Month: $1800 to $2199,Single rooms,Double rooms"
29,http://personalcarehomes.saskatchewan.ca/Facility/Details/b3ce2d91-5ba7-4522-b6ac-2b78c5ba31dd,L'Association Benevole De Bellevue Inc.,Bellevue Personal Care Home,18,None,None,200 Grenier Crescent Bellevue SK S0K 3Y0,(306) 423-5307,St. Isidore de Bellevue,7936,"Initial Licence Date: 2004-03-30,Approx. Start Rate per Month: $2200 to $2799,Cannot admit or care for residents who are at risk of wandering,Single rooms,Double rooms"
30,http://personalcarehomes.saskatchewan.ca/Facility/Details/c498f7cb-d52f-43cb-b90c-e260d913d84e,Annabel Macaso,Bels Care Home,10,10106 Ross Crescent,North Battleford SK S9A 3R6,10106 Ross Crescent North Battleford SK S9A 3R6,(306) 481-5115,North Battleford,9134,"Initial Licence Date: 2021-06-30,Approx. Start Rate per Month: $1200 to $1499,Can only admit and care for residents on the lower level who can climb and descend steps independently,Cannot admit or care for residents at risk of wandering,Single rooms"
31,http://personalcarehomes.saskatchewan.ca/Facility/Details/112e10e7-7021-46fb-ac84-fa953327412f,Annabel Macaso,Bels Care Home,10,10108 Ross Crescent,North Battleford SK S9A 3R6,10108 Ross Crescent North Battleford SK S9A 3R6,(306) 481-5115,North Battleford,9135,"Initial Licence Date: 2021-05-18 Approx. Start Rate per Month: $1200 to $1499,Can only admit and care for residents on the lower level who can climb and descend steps independently,Cannot admit or care for residents who are at risk of wandering,Single rooms,Double rooms"
32,http://personalcarehomes.saskatchewan.ca/Facility/Details/36923a0f-0b94-41f1-ae0c-a8d1842bacd9,Bernadette Leslie,Bernadette Leslie,3,72 28 St,Battleford SK S0M 0E0,72 28 St Battleford SK S0M 0E0,(306) 937-7652,Battleford,6475,"Initial Licence Date: 1998-09-21,Approx. Start Rate per Month: $2200 to $2799,Single rooms,Double rooms"
