,name,region,link,type,crisis_line,business_line,email,website
0,Big Hill Haven,Cochrane,https://acws.ca/shelters/big-hill-haven/,Emergency Shelter in,(403) 796-6564,(403) 796-6564,bighilloutreach@gmail.com,https://www.bighillhaven.com/
1,Maskan,"Calgary, AB",https://acws.ca/shelters/maskan/,Emergency Shelter in,1-800-471-3879,403-971-2774,calgary.maskan@gmail.com,http://www.cpsg.ca/
2,Mountain Rose Centre,"Rocky Mountain House, AB",https://acws.ca/shelters/mountain-rose-centre/,Second-Stage Shelter in,1-877-845-4141,403-845-5339,ceaston@mrwsa.net,https://ldallacosta.wixsite.com/rmhshelter
3,Odyssey House,"Grande Prairie, AB",https://acws.ca/shelters/odyssey-house/,Emergency Shelter in,780-532-2672,780-538-1332,admin@odysseyhouse.ca,No website
4,Jessie’s House,"Morinville, AB",https://acws.ca/shelters/jessies-house/,Emergency Shelter in,1-866-939-2850,780-939-2870,info@jmmf.ca,https://jessicamartelmemorialfoundation.com
5,Eagle’s Nest Stoney Family Shelter,"Morley, AB",https://acws.ca/shelters/eagles-nest-stoney-family-shelter/,Emergency Shelter in,403-881-2000,403-881-2025,encrisis@stoney-nation.com,https://www.eaglesnestshelter.ca/
6,Serenity Place,"Grande Prairie, AB",https://acws.ca/shelters/serenity-place/,Second-Stage Shelter in,780-532-2672,780-538-1332,admin@odysseyhouse.ca,No website
7,Northern Haven,"Slave Lake, AB",https://acws.ca/shelters/northern-haven/,Emergency Shelter in,780-849-4418,1-877-214-4418,northernhaven@hotmail.com,http://www.northernhaven.org
8,Kerby Shelter,"Calgary, AB",https://acws.ca/shelters/kerby-rotary-shelter/,Emergency Shelter in,403-705-3250,403-705-3244,shelter1@kerbycentre.com,https://www.kerbycentre.com/support-services/shelter/
9,Compass Second Stage Shelter,"Fort McMurray, AB",https://acws.ca/shelters/compass-second-stage-shelter/,Second-Stage Shelter in,780-743-1190,780-743-4691,lesley.ross@waypointswb.ca,https://www.waypointswb.ca
10,Brenda Strafford Foundation Heart Home Network,"Calgary, AB",https://acws.ca/shelters/brenda-strafford-centre-for-the-prevention-of-domestic-violence/,Second-Stage Shelter in,403-270-7240,centre@brendastraffordsociety.org,https://www.brendastraffordsociety.com,No website
11,Safe Haven,"Taber, AB",https://acws.ca/shelters/safe-haven/,Emergency Shelter in,403-223-0483,director@tabersafehaven.ca,http://www.tabersafehaven.ca,No website
12,The Wheatland Crisis Society,"Strathmore, AB",https://acws.ca/shelters/the-wheatland-crisis-society/,Emergency Shelter in,403-934-6634,1-877-934-6634,wcs.general@wcsab.ca,https://strathmoreshelter.com/
