,name,website,phone
0,A Safe Place,www.asafeplace.ca/,780-464-7233
1,Awo Taan Healing Lodge Emergency Shelter,www.awotaan.org,403-531-1972
2,Bow Valley Emergency Shelter,www.ywcabanff.ca,403-760-3200
3,Brenda Strafford Centre,brendastraffordsociety.com/,403-270-7240
4,Calgary Women's Emergency Shelter,www.calgarywomensshelter.com,403-234-7233
5,Camrose Women's Shelter,www.camrosewomenshelter.org,780-672-1035
6,Cantara Safe House,cantarasafehouse.ca/,403-793-2232
7,Capella Centre - Columbus House of Hope,www.capellacentre.ca,800-263-3045
8,Central Alberta Women's Emergency Shelter,www.cawes.com,403-346-5643
9,Compass Second Stage Women’s Shelter,www.fmmfcs.com,780-743-1190
10,Crossroads Resource Centre & Women's Shelter,www.crossroadsresourcecentre.com/,780-835-2120
11,Discovery House Family Violence Prevention Society,www.discoveryhouse.ca,403-670-0467
12,Dol-Mar Manor Second Stage - Lloydminster Interval Home,www.intervalhome.org,780-875-0966
13,Dr. Margaret Savage Crisis Centre,www.dmscc.ca,780-594-3353
14,Eagle's Nest Stoney Family Shelter,www.eaglesnestshelter.ca,403-881-2000
15,Ermineskin Women's Shelter Society,www.ewsshope.ca,780-585-4444
16,Grande Cache Transition House,www.grandecachetransition.com/,780-827-1791
17,Hope Haven,www.hopehavenllb.com/,780-623-3100
18,Joie's Phoenix House,www.dmscc.ca,780-594-3353
19,Kainai Women's Wellness Lodge,www.kainaicsc.ca,403-653-3946
20,Kerby Rotary House,www.kerbycentre.com,403-705-3250
21,LaSalle,www.cssalberta.ca,780-975-4896
22,Lloydminster Interval Home,www.intervalhome.org,780-875-0966
23,Lurana Shelter,www.cssalberta.ca/Our-Services/Domestic-Abuse-Shelters-Support/Lurana-Shelter,780-975-4896
24,Lynne's House,www.hopehavenllb.com,866-727-4673
25,Mountain Rose Women's Shelter Association,www.mrwsa.net,1-877-845-4141
26,Musasa House Second Stage Shelter,www.mhwss.ca,403-580-8206
27,Neepinise Family Healing Centre,www.bigstone.ca/content/neepinise-family-healing-centre,780-891-3333
28,Next Step 2nd Stage Housing,no website,780-523-4357
29,Nisa Homes - Calgary,www.nisahomes.com,1-888-456-8043
30,Nisa Homes - Edmonton,www.nisahomes.com,1-888-456-8043
31,Northern Haven Support Society,www.facebook.com/NorthernHavenSupportSociety/,780-849-4418
32,Odyssey House Emergency Shelter,www.odysseyhouse.ca,780-532-2672
33,Paspew House,mikisewcree.ca/services/,780-697-3323
34,Phoenix Safe House Emergency Shelter,www.mhwss.ca,403-529-1091
35,Pincher Creek Women's Emergency Shelter Association,www.pcshelter.ca,403-627-2114
36,Rowan House Emergency Shelter,www.rowanhouse.ca,403-652-3311
37,Safe Haven Women's Shelter Society,www.tabersafehaven.ca,403-223-0483
38,Safe Home,no website,780-926-3899
39,SAGE Seniors' Safe House,www.mysage.ca,780-702-1520
40,Serenity Place,www.odysseyhouse.ca,780-532-2672
41,Sheriff King Home Emergency Shelter,www.ywcalgary.ca,403-266-0707
42,Sonshine Centre,www.sonshine.ca,403-243-2002
43,Strathmore Shelter,strathmoreshelter.com/,403-934-6634
44,Sucker Creek Women's Emergency Shelter,no website,780-523-4357
45,Unity House Emergency Women's Shelter - First Stage,www.fmmfcs.com,780-743-1190
46,Wellspring Family Resource & Crisis Centre,www.whitecourtshelter.ca,800-467-4049
47,WIN House I,www.winhouse.org/,780-479-0058
48,WIN House II,www.winhouse.org/,780-479-0058
49,WIN III (Carol's House),www.winhouse.org/,780-479-0058
50,Yellowhead Emergency Shelter for Women,www.yeswomen.ca,780-865-5133
51,Yellowhead Emergency Shelter for Women,www.yeswomen.ca,780-865-5133
52,YWCA Harbour House,www.ywcalethbridge.org/,1-866-296-0447
