,name,website,phone
0,Crossroads for Women Inc.,www.crossroadsforwomen.ca/en/,506-853-0811
1,"Fundy Region Transition House,Inc.",www.fundyregiontransitionhouse.com,506-466-4485
2,Gignoo Transition House Inc.,www.gignoohouse.ca/,506-458-1236
3,Hestia House Inc.,www.hestiahouse.ca,506-634-7570
4,L'Accueil Sainte-Famille,www.accueilstefamille.com,506-395-1500
5,L'Escale Madavic,www.escalemadavic.com,506-739-6265
6,Liberty Lane,www.libertylane.ca/,506-451-2120
7,Maison de 'Passage' House inc.,www.facebook.com/maisonpassagehouseinc/,506 546-9540
8,Maison de Sérénité,www.centrepreventionviolence.com,506-743-1530
9,Maison Notre-Dame House Inc.,www.facebook.com/maisonnotredamehouse/,506-753-4703
10,Maison Oasis,www.centrepreventionviolence.com,506-743-5449
11,Miramichi Emergency Centre for Women Inc.,www.mecfw.ca,506-622-8865
12,Residence of Hope,www.healingstartshere.ca,1-506-533-9100
13,Second Stage Safe Haven Inc.,www.facebook.com/secondstagesaintjohn/,506-632-9289
14,Sussex Vale Transition House,www.svth.ca,506-432-6999
15,Women in Transition House Inc.,www.womenintransitionhouse.ca/,506-459-2300
16,Woodstock Sanctuary House,www.sanctuaryhouse.ca,506-325-9452
