,name,website,phone
0,Cara Transition House,www.carahouse.com,709-256-7707
1,Grace Sparkes House,gracesparkeshouse.com,709-279-3562
2,Hope Haven,www.hopehaven.ca,709-944-2200
3,Iris Kirby House,iriskirbyhouse.ca,709-753-1492
4,Kirkina House,no website,709-947-3334
5,Libra House,www.librahouse.ca,709-896-3014
6,Nain Transition House,no website,709-922-1229
7,Natuashish Women's Shelter and Safe House,no website,709-478-2390
8,Nukum Munik Shelter,no website,709-497-8868
9,O'Shaughnessy House,iriskirbyhouse.ca,709-596-8709
10,Selma Onalik Safe House,no website,709-933-3420
11,Willow House,www.willowhousenl.com,709-634-4198
