,name,website,phone
0,Alice House,www.alicehouse.ca,902-466-8459
1,Autumn House,www.autumnhouse.ca,902-667-1200
2,Bryony House,www.bryonyhouse.ca,902-422-7650
3,Chrysalis House Association,www.chrysalishouseassociation.org,1-800-264-8682
4,Harbour House,harbour-house.ca/,1-888-543-3999
5,Juniper House,www.juniperhouse.ca,1-800-266-4087
6,Leeside Transition House,www.thans.ca/shelters/leeside-transition-house-port-hawkesbury/,1-800-565-3390
7,Millbrook Family Healing Centre ,mfcsns.ca/,1-800-565-4741
8,Naomi Society ,www.naomisociety.ca,902-863-3807
9,Tearmann House,tearmann.ca,902-752-0132
10,Third Place Transition house,thirdplaceth.ca,1-800-565-4878
11,Waycobah Family Healing Centre,mfcsns.ca/,1-800-565-3440
12,Willow House,cbtha.com/,1-800-563-2945
