,name,website,phone
0,Agape House (Eastman Crisis Centre),agapehouse.ca/,204-346-0028
1,Alpha House Project,www.alphahouseproject.ca/,204--982-2011
2,Aurora House,www.aurorahouse-sharethecare.com,204-623-5497
3,Bravestone Centre Inc.,bravestonecentre.ca/,204-275-2600
4,Flin Flon Safe Haven,www.womensresource.ca,204-271-5375
5,Genesis House,www.genesishouseshelter.ca,204-325-9800
6,Ikwe-Widdjitiwin,www.ikwe.ca,1-800-362-3344
7,Jean Folster Place,www.nhcn.ca,204-359-3444
8,Mamewehetowin Crisis Centre,www.circlingbuffalo.ca/first-nation-shelters-in-manitoba/,204-553-2198
9,Mary's House,www.samaritanhouse.net/shelter-housing,204-727-1268
10,My Sister's House,www.aurorahouse-sharethecare.com,204-623-5497
11,NCN Women's Shelter,www.ncncree.com/community-facilities-and-programs/ncn-womens-shelter/,204-484-2634
12,Nova House,www.novahouse.ca,204-482-1200
13,Parkland Crisis Centre & Women's Shelter,www.parklandcrisiscentre.ca,204-638-9484
14,Portage Family Abuse Prevention Centre Inc.,www.abuseprevention.ca,204-239-5233
15,Thompson Crisis Centre,www.thompsoncrisiscentre.com,1-877-977-0007
16,Wechihin Waskkahikan Women's Centre,www.firstnationshelters.ca/,204-565-2548
17,Willow Place,willowplaceshelter.ca,204-615-0311
18,YWCA Westman Women's Shelter,www.ywcabrandon.ca,877-977-0007
