,name,website,phone
0,Adelle House Second Stage,www.saskatoonintervalhouse.org,1-888-338-0880
1,Battlefords Interval House,www.battlefordsintervalhouse.ca/,306-445-2742
2,Moose Jaw Transition House,www.mj-transitionhouse.com/,306-693-6511
3,Piwapan Women’s Centre,www.pwcprograms.com/,306-425-4090
4,Prince Albert Safe Shelter for Women,www.pasafeshelter.ca/,306-764-7233
5,Qu'Appelle Haven Safe Shelter,www.fhqtc.com/safe-shelters/,1-888-332-7233
6,Qu'Appelle Haven Safe Shelter,www.fhqtc.com/safe-shelters/,306-543-0493
7,Regina Transition House,www.reginatransitionhouse.ca,306-569-2292
8,Saskatoon Interval House,saskatoonintervalhouse.org/,1-888-338-0880
9,Shelwin House,www.shelwinhouse.ca,306-783-7233
10,SOFIA House Inc,www.sofiahouse.ca,306-565-6060
11,Southwest Safe Shelter,www.swcrisis.ca,306-778-3386
12,Ts’ekwi K’oni Koe (A place to protect women),athabascahealth.ca,306-439-2777
13,Waskoosis Safe Shelter,no website,306-236-5570
14,Wichihik Iskwewak Safe House (WISH),www.fhqtc.com/safe-shelters/,306-543-0493
15,Yorkton Tribal Council - Project Safe Haven,www.facebook.com/yorktontribalcouncil,1-877-444-2836
16,YWCA Regina Isabel Johnson Shelter,www.ywcaregina.com/,306-525-2141
17,YWCA Saskatoon Crisis Shelter and Residence,www.ywcasaskatoon.com,306-244-2844
